net
"['GND', 'bk1', 'bk10a', 'bk10b', 'bk10c', 'bk11', 'bk12', 'bk13', 'bk14a', 'bk14b', 'bk14c', 'bk15a', 'bk15b', 'bk16', 'bk17a', 'bk17b', 'bk18', 'bk19', 'bk2', 'bk20', 'bk21', 'bk3', 'bk4', 'bk5a', 'bk5b', 'bk5c', 'bk6', 'bk7', 'bk8a', 'bk8b', 'bk9a', 'bk9b', 'bk9c', 'bk9d']"
"['bk1', 'bk10a', 'bk10b', 'bk10c', 'bk11', 'bk12', 'bk13', 'bk14a', 'bk14b', 'bk14c', 'bk15a', 'bk15b', 'bk16', 'bk17a', 'bk17b', 'bk18', 'bk2', 'bk20', 'bk21', 'bk3', 'bk4', 'bk5a', 'bk5b', 'bk5c', 'bk6', 'bk7', 'bk9a', 'bk9b', 'bk9c', 'bk9d']"
"['bk1', 'bk10a', 'bk10b', 'bk10c', 'bk11', 'bk12', 'bk13', 'bk14b', 'bk17a', 'bk17b', 'bk18', 'bk2', 'bk20', 'bk21', 'bk3', 'bk4', 'bk5a', 'bk5b', 'bk5c', 'bk6', 'bk7', 'bk9a', 'bk9b', 'bk9c', 'bk9d']"
"['bk1', 'bk10a', 'bk10b', 'bk10c', 'bk11', 'bk12', 'bk13', 'bk14a', 'bk14b', 'bk14c', 'bk15a', 'bk15b', 'bk17a', 'bk17b', 'bk18', 'bk2', 'bk20', 'bk21', 'bk3', 'bk4', 'bk5a', 'bk5b', 'bk5c', 'bk6', 'bk7', 'bk9a', 'bk9b', 'bk9c', 'bk9d']"
"['bk1', 'bk10a', 'bk10b', 'bk10c', 'bk11', 'bk12', 'bk13', 'bk14b', 'bk17a', 'bk17b', 'bk18', 'bk2', 'bk20', 'bk21', 'bk3', 'bk4', 'bk5a', 'bk5b', 'bk5c', 'bk6', 'bk7', 'bk9a', 'bk9b', 'bk9c', 'bk9d']"
"['bk9c', 'bk9d']"
"['POW', 'bk1', 'bk10a', 'bk10b', 'bk10c', 'bk11', 'bk12', 'bk13', 'bk14a', 'bk14b', 'bk14c', 'bk15a', 'bk15b', 'bk16', 'bk17a', 'bk17b', 'bk18', 'bk19', 'bk2', 'bk20', 'bk21', 'bk3', 'bk4', 'bk5a', 'bk5b', 'bk5c', 'bk6', 'bk7', 'bk8a', 'bk8b', 'bk9a', 'bk9b', 'bk9c', 'bk9d']"
"['bk10a', 'bk9d']"
"['bk9b', 'bk9d']"
"['P30', 'bk9c']"
"['P27', 'bk9c']"
"['bk10b', 'bk11', 'bk12', 'bk14b', 'bk20', 'bk9b', 'bk9c']"
"['bk9a', 'bk9c']"
"['bk9b', 'bk9c']"
"['bk10a', 'bk9b']"
"['bk10a', 'bk10b', 'bk9b']"
"['bk10c', 'bk9a']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk16', 'bk19', 'bk8b']"
"['bk16', 'bk19', 'bk8b']"
"['bk19', 'bk8b']"
"['bk19', 'bk8b']"
"['bk19', 'bk8b']"
"['bk19', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk8a', 'bk8b']"
"['bk16', 'bk20', 'bk8a']"
"['bk16', 'bk8a']"
"['bk16', 'bk8a']"
"['bk16', 'bk8a']"
"['bk16', 'bk8a']"
"['bk16', 'bk8a']"
"['bk16', 'bk8a']"
"['bk15b', 'bk16', 'bk8a']"
"['VSS', 'bk7']"
"['VDD', 'bk7']"
"['P23', 'bk7']"
"['P22', 'bk7']"
"['bk17b', 'bk7']"
"['P21', 'bk6']"
"['P20', 'bk6']"
"['P19', 'bk6']"
"['P18', 'bk6']"
"['P17', 'bk6']"
"['bk5c', 'bk6']"
"['bk5c', 'bk6']"
"['bk5b', 'bk5c', 'bk6']"
"['bk5b', 'bk5c', 'bk6']"
"['bk3', 'bk4', 'bk6']"
"['bk4', 'bk6']"
"['bk3', 'bk5c']"
"['bk5a', 'bk5b']"
"['bk2', 'bk5a', 'bk5b']"
"['bk1', 'bk5b']"
"['bk5a', 'bk5b']"
"['bk1', 'bk5b']"
"['bk1', 'bk5b']"
"['bk2', 'bk5a']"
"['bk4', 'bk5a']"
"['P14', 'bk4']"
"['P13', 'bk4']"
"['P12', 'bk4']"
"['bk17b', 'bk4']"
"['bk3', 'bk4']"
"['P16', 'bk3']"
"['P15', 'bk3']"
"['bk15a', 'bk3']"
"['P3', 'bk21']"
"['P24', 'bk20']"
"['bk17b', 'bk18', 'bk20']"
"['bk17a', 'bk20']"
"['bk17a', 'bk20']"
"['bk17a', 'bk20']"
