name,x,y
GND,2264.0,154.0
P10,401.0,0.0
P11,501.0,0.0
P12,2264.0,524.0
P13,2264.0,663.0
P14,2264.0,378.0
P15,0.0,1094.0
P16,0.0,840.0
P17,2264.0,1217.0
P18,2264.0,1502.0
P19,2264.0,1564.0
P2,1240.0,0.0
P20,1810.0,1610.0
P21,1540.0,1610.0
P22,2264.0,801.0
P23,2264.0,948.0
P24,2264.0,185.0
P25,609.0,0.0
P26,1394.0,0.0
P27,370.0,1610.0
P28,1633.0,0.0
P29,678.0,1610.0
P3,1294.0,1610.0
P30,570.0,1610.0
P31,0.0,1348.0
P32,0.0,686.0
P33,0.0,216.0
P34,0.0,378.0
P35,0.0,532.0
P36,786.0,1610.0
P37,1040.0,1610.0
P4,1125.0,0.0
P5,794.0,0.0
P6,909.0,0.0
P7,1015.0,0.0
P8,185.0,0.0
P9,293.0,0.0
POW,385.0,1610.0
VDD,1856.0,0.0
VSS,1410.0,1610.0
