name,w,h
M001,1708.0,3234.0
M002,672.0,1554.0
M003,2184.0,1008.0
M004,3080.0,1610.0
M005,532.0,1386.0
M006,1862.0,882.0
M007,350.0,868.0
M008,644.0,1246.0
M009,980.0,462.0
M010,294.0,616.0
M011,826.0,378.0
M012,798.0,406.0
M013,266.0,672.0
M014,406.0,924.0
M015,406.0,840.0
M016,322.0,798.0
M017,392.0,756.0
M018,1078.0,392.0
M019,392.0,826.0
M020,798.0,252.0
M021,392.0,826.0
M022,952.0,364.0
M023,1134.0,490.0
M024,798.0,266.0
M025,784.0,322.0
M026,350.0,728.0
M027,364.0,840.0
M028,518.0,1064.0
M029,490.0,994.0
M030,1302.0,728.0
M031,392.0,1050.0
M032,784.0,378.0
M033,1890.0,952.0
M034,560.0,1148.0
M035,854.0,392.0
M036,994.0,448.0
M037,1218.0,560.0
M038,448.0,966.0
M039,364.0,784.0
M040,392.0,868.0
M041,364.0,854.0
M042,168.0,378.0
M043,910.0,532.0
M044,630.0,1302.0
M045,672.0,1162.0
M046,1204.0,504.0
M047,434.0,812.0
M048,1302.0,728.0
M049,392.0,742.0
