name,x,y
p1,0.0,0.0
p10,400.0,0.0
p11,444.0,0.0
p12,488.0,0.0
p13,533.0,0.0
p14,577.0,0.0
p15,622.0,0.0
p16,666.0,0.0
p17,711.0,0.0
p18,755.0,0.0
p19,800.0,0.0
p2,44.0,0.0
p20,800.0,44.0
p21,800.0,88.0
p22,800.0,133.0
p23,800.0,177.0
p24,800.0,222.0
p25,800.0,266.0
p26,800.0,311.0
p27,800.0,355.0
p28,800.0,400.0
p29,800.0,444.0
p3,88.0,0.0
p30,800.0,488.0
p31,800.0,533.0
p32,800.0,577.0
p33,800.0,622.0
p34,800.0,666.0
p35,800.0,711.0
p36,800.0,755.0
p37,755.0,800.0
p38,711.0,800.0
p39,666.0,800.0
p4,133.0,0.0
p40,622.0,800.0
p41,577.0,800.0
p42,533.0,800.0
p43,488.0,800.0
p44,444.0,800.0
p45,400.0,800.0
p46,355.0,800.0
p47,311.0,800.0
p48,266.0,800.0
p49,222.0,800.0
p5,177.0,0.0
p50,177.0,800.0
p51,133.0,800.0
p52,88.0,800.0
p53,44.0,800.0
p54,0.0,800.0
p55,0.0,755.0
p56,0.0,711.0
p57,0.0,666.0
p58,0.0,622.0
p59,0.0,577.0
p6,222.0,0.0
p60,0.0,533.0
p61,0.0,488.0
p62,0.0,444.0
p63,0.0,400.0
p64,0.0,355.0
p65,0.0,311.0
p66,0.0,266.0
p67,0.0,222.0
p68,0.0,177.0
p69,0.0,133.0
p7,266.0,0.0
p8,311.0,0.0
p9,355.0,0.0
