name,w,h
sb0,43.0,33.0
sb1,65.0,37.0
sb10,18.0,52.0
sb11,39.0,59.0
sb12,61.0,28.0
sb13,48.0,57.0
sb14,63.0,43.0
sb15,59.0,52.0
sb16,36.0,57.0
sb17,44.0,66.0
sb18,48.0,51.0
sb19,31.0,50.0
sb2,53.0,34.0
sb20,37.0,19.0
sb21,64.0,50.0
sb22,49.0,34.0
sb23,20.0,49.0
sb24,45.0,28.0
sb25,54.0,39.0
sb26,55.0,40.0
sb27,25.0,65.0
sb28,39.0,46.0
sb29,24.0,62.0
sb3,37.0,67.0
sb30,24.0,26.0
sb31,26.0,34.0
sb32,43.0,53.0
sb33,22.0,35.0
sb34,27.0,54.0
sb35,31.0,38.0
sb36,39.0,67.0
sb37,20.0,60.0
sb38,23.0,57.0
sb39,52.0,55.0
sb4,29.0,19.0
sb40,26.0,29.0
sb41,27.0,55.0
sb42,62.0,53.0
sb43,61.0,46.0
sb44,65.0,47.0
sb45,23.0,44.0
sb46,39.0,22.0
sb47,65.0,33.0
sb48,57.0,27.0
sb49,47.0,65.0
sb5,39.0,49.0
sb50,67.0,32.0
sb51,38.0,57.0
sb52,54.0,45.0
sb53,43.0,21.0
sb54,18.0,61.0
sb55,34.0,56.0
sb56,17.0,63.0
sb57,18.0,47.0
sb58,46.0,34.0
sb59,50.0,37.0
sb6,40.0,18.0
sb60,40.0,23.0
sb61,33.0,23.0
sb62,60.0,19.0
sb63,36.0,45.0
sb64,50.0,47.0
sb65,57.0,56.0
sb66,67.0,61.0
sb67,44.0,40.0
sb68,52.0,63.0
sb69,54.0,27.0
sb7,22.0,40.0
sb70,42.0,42.0
sb71,64.0,22.0
sb72,61.0,61.0
sb73,61.0,67.0
sb74,38.0,42.0
sb75,19.0,28.0
sb76,22.0,33.0
sb77,66.0,57.0
sb78,36.0,32.0
sb79,60.0,41.0
sb8,50.0,62.0
sb80,16.0,58.0
sb81,40.0,50.0
sb82,47.0,57.0
sb83,22.0,16.0
sb84,67.0,22.0
sb85,20.0,25.0
sb86,56.0,37.0
sb87,39.0,44.0
sb88,37.0,24.0
sb89,38.0,27.0
sb9,16.0,41.0
sb90,39.0,33.0
sb91,56.0,33.0
sb92,26.0,16.0
sb93,65.0,35.0
sb94,41.0,59.0
sb95,51.0,19.0
sb96,40.0,66.0
sb97,17.0,67.0
sb98,22.0,62.0
sb99,49.0,66.0
