net
"['p1', 'sb50', 'sb70']"
"['p2', 'sb131', 'sb231']"
"['p3', 'sb112', 'sb149']"
"['p4', 'sb68', 'sb163']"
"['p5', 'sb209', 'sb266']"
"['p6', 'sb60']"
"['p7', 'sb200', 'sb25']"
"['p8', 'sb176', 'sb142']"
"['p9', 'sb106']"
"['p10', 'sb206', 'sb120', 'sb220']"
"['p11', 'sb125', 'sb187']"
"['p12', 'sb16', 'sb255']"
"['p13', 'sb183', 'sb130']"
"['p14', 'sb22']"
"['p15', 'sb228']"
"['p16', 'sb129', 'sb92']"
"['p17', 'sb100', 'sb18']"
"['p18', 'sb185', 'sb164']"
"['p19', 'sb270', 'sb161']"
"['p20', 'sb86', 'sb43']"
"['p21', 'sb90', 'sb238']"
"['p22', 'sb124', 'sb268']"
"['p23', 'sb265']"
"['p24', 'sb17', 'sb69']"
"['p25', 'sb83', 'sb15']"
"['p26', 'sb284']"
"['p27', 'sb119', 'sb180']"
"['p28', 'sb282']"
"['p29', 'sb109', 'sb76']"
"['p30', 'sb179', 'sb266']"
"['p31', 'sb271', 'sb201']"
"['p32', 'sb287']"
"['p33', 'sb83']"
"['p34', 'sb121', 'sb255']"
"['p35', 'sb109', 'sb57']"
"['p36', 'sb189', 'sb160']"
"['p37', 'sb25']"
"['p38', 'sb160']"
"['p39', 'sb4', 'sb164', 'sb289']"
"['p40', 'sb20', 'sb77']"
"['p41', 'sb138', 'sb57', 'sb76']"
"['p42', 'sb94', 'sb110']"
"['p43', 'sb229', 'sb110']"
"['p44', 'sb88']"
"['p45', 'sb176', 'sb142']"
"['p46', 'sb225', 'sb25']"
"['p47', 'sb269']"
"['p48', 'sb139', 'sb25']"
"['p49', 'sb100', 'sb57']"
"['p50', 'sb110']"
"['p51', 'sb193', 'sb92']"
"['p52', 'sb135', 'sb262']"
"['p53', 'sb185', 'sb293']"
"['p54', 'sb71']"
"['p55', 'sb118', 'sb227']"
"['p56', 'sb16']"
"['p57', 'sb247', 'sb114']"
"['p58', 'sb285']"
"['p59', 'sb100', 'sb27']"
"['p60', 'sb225', 'sb255']"
"['p61', 'sb62']"
"['p62', 'sb100', 'sb22']"
"['p63', 'sb67']"
"['p64', 'sb185']"
"['p65', 'sb197', 'sb287']"
"['p66', 'sb143']"
"['p67', 'sb202', 'sb110']"
"['p68', 'sb267', 'sb231']"
"['p69', 'sb2', 'sb142']"
"['p70', 'sb234']"
"['p71', 'sb242']"
"['p72', 'sb209', 'sb245']"
"['p73', 'sb222']"
"['p74', 'sb293']"
"['p75', 'sb109', 'sb181']"
"['p76', 'sb102', 'sb1']"
"['p77', 'sb14', 'sb246']"
"['p78', 'sb55']"
"['p79', 'sb139', 'sb18']"
"['p80', 'sb99', 'sb201']"
"['p81', 'sb257', 'sb231']"
"['p82', 'sb146']"
"['p83', 'sb103', 'sb106']"
"['p84', 'sb4', 'sb57']"
"['p85', 'sb267']"
"['p86', 'sb225', 'sb161']"
"['p87', 'sb82']"
"['p88', 'sb264', 'sb57', 'sb76']"
"['p89', 'sb83']"
"['p90', 'sb297']"
"['p91', 'sb100', 'sb281']"
"['p92', 'sb236']"
"['p93', 'sb47', 'sb110']"
"['p94', 'sb100', 'sb69']"
"['p95', 'sb70']"
"['p96', 'sb238']"
